fips,name,population
36001,Albany,307426
36003,Allegany,47025
36005,Bronx,1437872
36007,Broome,194402
36009,Cattaraugus,77686
36011,Cayuga,77868
36013,Chautauqua,129656
36015,Chemung,85740
36017,Chenango,48348
36019,Clinton,80794
36021,Columbia,60919
36023,Cortland,48123
36025,Delaware,45502
36027,Dutchess,293894
36029,Erie,919866
36031,Essex,37751
36033,Franklin,50692
36035,Fulton,53743
36037,Genesee,58112
36039,Greene,47617
36041,Hamilton,4575
36043,Herkimer,62505
36045,Jefferson,114448
36047,Kings,2600747
36049,Lewis,26719
36051,Livingston,63907
36053,Madison,71359
36055,Monroe,744248
36057,Montgomery,49426
36059,Nassau,1356564
36061,New York,1632480
36063,Niagara,211704
36065,Oneida,230782
36067,Onondaga,464242
36069,Ontario,109472
36071,Orange,378227
36073,Orleans,41175
36075,Oswego,119104
36077,Otsego,60244
36079,Putnam,99070
36081,Queens,2298513
36083,Rensselaer,159431
36085,Richmond,474101
36087,Rockland,323686
36089,Saratoga,227377
36091,Schenectady,154883
36093,Schoharie,31364
36095,Schuyler,17992
36097,Seneca,34612
36099,St. Lawrence,109558
36101,Steuben,96927
36103,Suffolk,1487901
36105,Sullivan,75211
36107,Tioga,49045
36109,Tompkins,102962
36111,Ulster,179303
36113,Warren,64480
36115,Washington,61828
36117,Wayne,90856
36119,Westchester,968815
36121,Wyoming,40565
36123,Yates,25009