fips,name,infected,,,,
36001,Albany,61,,,,
36003,Allegany,2,,,,
36005,Bronx,"4,408",,,,
36007,Broome,2,,,,
36009,Cattaraugus,,,,,
36011,Cayuga,,,,,
36013,Chautauqua,,,,,
36015,Chemung,,,,,
36017,Chenango,2,,,,
36019,Clinton,2,,,,
36021,Columbia,1,,,,
36023,Cortland,,,,,
36025,Delaware,1,,,,
36027,Dutchess,36,,,,
36029,Erie,31,,,,
36031,Essex,1,,,,
36033,Franklin,,,,,
36035,Fulton,1,,,,
36037,Genesee,1,,,,
36039,Greene,2,,,,
36041,Hamilton,2,,,,
36043,Herkimer,2,,,,
36045,Jefferson,1,,,,
36047,Kings,"4,408",,,,
36049,Lewis,,,,,
36051,Livingston,1,,,,
36053,Madison,,,,,
36055,Monroe,32,,,,
36057,Montgomery,2,,,,
36059,Nassau,754,,,,
36061,New York,"4,408",,,,
36063,Niagara,3,,,,
36065,Oneida,2,,,,
36067,Onondaga,8,,,,
36069,Ontario,3,,,,
36071,Orange,84,,,,
36073,Orleans,,,,,
36075,Oswego,,,,,
36077,Otsego,,,,,
36079,Putnam,7,,,,
36081,Queens,"4,408",,,,
36083,Rensselaer,8,,,,
36085,Richmond,"4,408",,,,
36087,Rockland,101,,,,
36089,Saratoga,24,,,,
36091,Schenectady,21,,,,
36093,Schoharie,1,,,,
36095,Schuyler,,,,,
36097,Seneca,,,,,
36099,St. Lawrence,,,,,
36101,Steuben,,,,,
36103,Suffolk,371,,,,
36105,Sullivan,8,,,,
36107,Tioga,1,,,,
36109,Tompkins,7,,,,
36111,Ulster,12,,,,
36113,Warren,1,,,,
36115,Washington,1,,,,
36117,Wayne,1,,,,
36119,Westchester,"1,091",,,,
36121,Wyoming,2,,,,
36123,Yates,,,,,